pair_id	label	prediction	votes
R03-01-E	N	N	['N', 'N', 'N', 'N', 'N']
R03-01-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-01-O	N	Y	['N', 'Y', 'Y', 'N', 'Y']
R03-02-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-02-E	Y	Y	['Y', 'U', 'U', 'Y', 'Y']
R03-02-I	N	N	['N', 'N', 'N', 'N', 'Y']
R03-02-O	N	N	['N', 'N', 'N', 'Y', 'Y']
R03-03-A	Y	Y	['U', 'Y', 'N', 'Y', 'Y']
R03-03-E	N	Y	['N', 'Y', 'Y', 'Y', 'N']
R03-03-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-03-O	N	Y	['Y', 'Y', 'Y', 'Y', 'N']
R03-03-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-04-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-04-E	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-04-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-04-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-04-U	Y	N	['N', 'N', 'N', 'N', 'N']
R03-05-A	N	N	['N', 'N', 'N', 'N', 'U']
R03-05-O	N	Y	['U', 'Y', 'Y', 'Y', 'U']
R03-05-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'U']
R03-07-A	N	Y	['Y', 'Y', 'Y', 'N', 'Y']
R03-07-E	N	Y	['Y', 'Y', 'N', 'Y', 'N']
R03-07-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-07-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-08-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-08-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'U']
R03-08-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-08-U	Y	Y	['Y', 'Y', 'U', 'Y', 'U']
R03-09-A	Y	Y	['Y', 'Y', 'Y', 'U', 'U']
R03-09-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-09-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-10-A	N	N	['N', 'U', 'U', 'N', 'N']
R03-10-O	Y	Y	['Y', 'Y', 'Y', 'N', 'Y']
R03-10-U	Y	Y	['Y', 'N', 'N', 'Y', 'Y']
R03-12-A	N	N	['U', 'N', 'N', 'U', 'N']
R03-12-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-12-I	Y	Y	['Y', 'Y', 'N', 'Y', 'Y']
R03-12-O	N	N	['N', 'N', 'N', 'N', 'N']
R03-12-U	N	N	['U', 'N', 'U', 'N', 'N']
R03-13-A	Y	Y	['Y', 'Y', 'N', 'U', 'Y']
R03-15-A	Y	N	['U', 'N', 'N', 'N', 'N']
R03-15-E	N	N	['N', 'N', 'N', 'N', 'Y']
R03-15-I	Y	Y	['N', 'N', 'Y', 'Y', 'Y']
R03-15-U	N	N	['N', 'N', 'Y', 'N', 'N']
R03-16-E	Y	Y	['N', 'Y', 'Y', 'Y', 'Y']
R03-16-O	N	Y	['Y', 'Y', 'Y', 'U', 'U']
R03-16-U	Y	Y	['Y', 'Y', 'Y', 'U', 'U']
R03-17-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R03-17-O	Y	N	['N', 'N', 'N', 'N', 'N']
