pair_id	label	prediction	votes
R02-1-A	N	Y	['N', 'N', 'Y', 'Y', 'Y']
R02-1-I	N	N	['N', 'N', 'N', 'N', 'N']
R02-1-U	N	N	['N', 'Y', 'N', 'Y', 'N']
R02-1-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-2-E	N	N	['N', 'N', 'N', 'Y', 'N']
R02-3-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-3-I	N	N	['N', 'N', 'N', 'N', 'N']
R02-3-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-3-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-4-A	N	N	['N', 'N', 'N', 'N', 'N']
R02-4-I	Y	Y	['N', 'Y', 'Y', 'Y', 'N']
R02-4-U	N	N	['N', 'N', 'N', 'N', 'N']
R02-5-A	Y	Y	['Y', 'N', 'Y', 'N', 'Y']
R02-5-I	N	N	['N', 'N', 'Y', 'N', 'N']
R02-5-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-5-E	N	N	['N', 'N', 'N', 'N', 'N']
R02-5-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-8-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-8-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-9-A	N	Y	['Y', 'N', 'Y', 'Y', 'Y']
R02-9-I	Y	N	['N', 'N', 'N', 'N', 'N']
R02-9-U	Y	N	['N', 'N', 'N', 'Y', 'N']
R02-9-E	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-9-O	Y	Y	['Y', 'Y', 'N', 'Y', 'N']
R02-10-I	N	Y	['Y', 'Y', 'N', 'Y', 'N']
R02-10-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-10-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-11-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-12-A	N	N	['N', 'N', 'N', 'N', 'N']
R02-13-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-13-E	N	N	['Y', 'Y', 'N', 'N', 'N']
R02-15-I	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-15-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-15-E	N	Y	['Y', 'N', 'Y', 'N', 'Y']
R02-15-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-16-A	N	N	['Y', 'N', 'N', 'N', 'N']
R02-16-I	N	N	['N', 'N', 'Y', 'Y', 'N']
R02-16-U	Y	N	['N', 'N', 'N', 'N', 'N']
R02-16-E	Y	N	['N', 'Y', 'N', 'Y', 'N']
R02-16-O	N	N	['N', 'Y', 'N', 'N', 'Y']
R02-17-A	N	Y	['Y', 'Y', 'N', 'N', 'Y']
R02-17-I	N	Y	['Y', 'N', 'Y', 'Y', 'Y']
R02-17-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-17-O	Y	N	['N', 'N', 'Y', 'N', 'N']
R02-18-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-19-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-19-I	N	Y	['Y', 'Y', 'Y', 'Y', 'N']
R02-19-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-21-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-23-I	N	N	['N', 'N', 'N', 'N', 'N']
R02-23-U	N	N	['N', 'N', 'N', 'N', 'N']
R02-23-E	N	N	['N', 'N', 'N', 'N', 'N']
R02-23-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-24-A	Y	N	['N', 'N', 'N', 'N', 'N']
R02-24-I	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R02-24-U	Y	N	['N', 'Y', 'N', 'Y', 'N']
