pair_id	label	prediction	votes
R03-01-E	N	N	['N']
R03-01-I	Y	Y	['Y']
R03-01-O	N	Y	['Y']
R03-02-A	Y	Y	['Y']
R03-02-E	Y	N	['N']
R03-02-I	N	Y	['Y']
R03-02-O	N	Y	['Y']
R03-03-A	Y	N	['N']
R03-03-E	N	N	['N']
R03-03-I	Y	Y	['Y']
R03-03-O	N	Y	['Y']
R03-03-U	Y	Y	['Y']
R03-04-A	N	Y	['Y']
R03-04-E	N	Y	['Y']
R03-04-I	Y	Y	['Y']
R03-04-O	Y	Y	['Y']
R03-04-U	Y	Y	['Y']
R03-05-A	N	N	['N']
R03-05-O	N	N	['N']
R03-05-U	Y	Y	['Y']
R03-07-A	N	Y	['Y']
R03-07-E	N	Y	['Y']
R03-07-I	Y	Y	['Y']
R03-07-O	Y	Y	['Y']
R03-08-A	N	Y	['Y']
R03-08-E	Y	Y	['Y']
R03-08-O	Y	Y	['Y']
R03-08-U	Y	Y	['Y']
R03-09-A	Y	Y	['Y']
R03-09-E	Y	Y	['Y']
R03-09-U	N	Y	['Y']
R03-10-A	N	Y	['Y']
R03-10-O	Y	N	['N']
R03-10-U	Y	N	['N']
R03-12-A	N	N	['N']
R03-12-E	Y	Y	['Y']
R03-12-I	Y	Y	['Y']
R03-12-O	N	N	['N']
R03-12-U	N	N	['N']
R03-13-A	Y	Y	['Y']
R03-15-A	Y	N	['N']
R03-15-E	N	Y	['Y']
R03-15-I	Y	Y	['Y']
R03-15-U	N	N	['N']
R03-16-E	Y	N	['N']
R03-16-O	N	Y	['Y']
R03-16-U	Y	Y	['Y']
R03-17-I	Y	Y	['Y']
R03-17-O	Y	Y	['Y']
R03-17-U	Y	Y	['Y']
R03-19-A	Y	Y	['Y']
R03-19-E	Y	Y	['Y']
R03-19-I	N	Y	['Y']
R03-19-O	Y	Y	['Y']
R03-19-U	N	Y	['Y']
R03-20-A	N	Y	['Y']
R03-20-E	Y	N	['N']
R03-20-I	Y	Y	['Y']
R03-20-O	N	N	['N']
R03-20-U	N	N	['N']
R03-21-E	N	N	['N']
R03-21-I	Y	Y	['Y']
R03-21-O	N	N	['N']
R03-21-U	Y	N	['N']
R03-22-A	N	Y	['Y']
R03-22-E	Y	N	['N']
R03-22-I	N	N	['N']
R03-22-O	Y	Y	['Y']
R03-22-U	Y	Y	['Y']
R03-23-A	N	Y	['Y']
R03-23-E	N	N	['N']
R03-23-I	Y	Y	['Y']
R03-23-O	N	Y	['Y']
R03-23-U	Y	Y	['Y']
R03-24-A	Y	N	['N']
R03-24-E	N	Y	['Y']
R03-24-I	Y	Y	['Y']
R03-24-U	N	Y	['Y']
R03-25-A	N	N	['N']
R03-25-E	Y	Y	['Y']
R03-25-I	Y	Y	['Y']
R03-25-O	Y	Y	['Y']
R03-25-U	N	Y	['Y']
R03-26-A	Y	Y	['Y']
R03-26-E	N	N	['N']
R03-26-I	N	N	['N']
R03-26-O	Y	Y	['Y']
R03-26-U	Y	Y	['Y']
R03-27-A	Y	Y	['Y']
R03-27-E	N	N	['N']
R03-27-I	Y	Y	['Y']
R03-27-O	N	N	['N']
R03-27-U	Y	Y	['Y']
R03-28-A	Y	Y	['Y']
R03-28-E	N	N	['N']
R03-28-I	N	Y	['Y']
R03-28-O	Y	Y	['Y']
R03-28-U	N	Y	['Y']
R03-29-A	N	N	['N']
R03-29-E	Y	Y	['Y']
R03-29-I	Y	N	['N']
R03-29-O	N	N	['N']
R03-29-U	N	N	['N']
R03-36-E	N	N	['N']
R03-36-I	N	N	['N']
R03-36-U	Y	N	['N']
R03-37-E	N	Y	['Y']
R03-37-I	Y	Y	['Y']
R03-37-O	N	Y	['Y']
