pair_id	label	prediction	votes
H30-1-A	Y	N	['N', 'N', 'N', 'N', 'N']
H30-2-I	N	N	['N', 'N', 'N', 'N', 'I']
H30-2-U	N	I	['N', 'I', 'I', 'I', 'I']
H30-4-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-4-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-4-U	Y	N	['N', 'N', 'N', 'Y', 'N']
H30-4-E	N	N	['N', 'N', 'N', 'N', 'N']
H30-4-O	Y	Y	['N', 'Y', 'Y', 'Y', 'Y']
H30-5-A	Y	N	['N', 'N', 'N', 'N', 'N']
H30-5-U	N	N	['N', 'N', 'N', 'N', 'N']
H30-5-E	Y	N	['N', 'N', 'N', 'N', 'Y']
H30-6-A	Y	N	['Y', 'Y', 'N', 'N', 'N']
H30-7-A	Y	N	['N', 'N', 'N', 'N', 'N']
H30-7-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-8-A	N	N	['Y', 'N', 'N', 'Y', 'N']
H30-8-I	Y	N	['I', 'N', 'N', 'N', 'N']
H30-9-A	N	N	['N', 'N', 'N', 'N', 'N']
