pair_id	label	prediction	votes
R02-1-A	N	Y	['Y']
R02-1-I	N	Y	['Y']
R02-1-U	N	N	['N']
R02-1-E	Y	Y	['Y']
R02-2-E	N	N	['N']
R02-3-A	N	Y	['Y']
R02-3-I	N	N	['N']
R02-3-U	Y	Y	['Y']
R02-3-O	N	Y	['Y']
R02-4-A	N	Y	['Y']
R02-4-I	Y	Y	['Y']
R02-4-U	N	Y	['Y']
R02-5-A	Y	Y	['Y']
R02-5-I	N	Y	['Y']
R02-5-U	Y	Y	['Y']
R02-5-E	N	Y	['Y']
R02-5-O	Y	Y	['Y']
R02-8-E	Y	N	['N']
R02-8-O	Y	Y	['Y']
R02-9-A	N	Y	['Y']
R02-9-I	Y	Y	['Y']
R02-9-U	Y	Y	['Y']
R02-9-E	N	Y	['Y']
R02-9-O	Y	Y	['Y']
R02-10-I	N	Y	['Y']
R02-10-U	Y	Y	['Y']
R02-10-E	Y	Y	['Y']
R02-11-E	Y	Y	['Y']
R02-12-A	N	Y	['Y']
R02-13-A	N	Y	['Y']
R02-13-E	N	N	['N']
R02-15-I	N	Y	['Y']
R02-15-U	Y	Y	['Y']
R02-15-E	N	Y	['Y']
R02-15-O	N	Y	['Y']
R02-16-A	N	Y	['Y']
R02-16-I	N	Y	['Y']
R02-16-U	Y	N	['N']
R02-16-E	Y	Y	['Y']
R02-16-O	N	Y	['Y']
R02-17-A	N	Y	['Y']
R02-17-I	N	Y	['Y']
R02-17-U	Y	Y	['Y']
R02-17-O	Y	Y	['Y']
R02-18-U	Y	Y	['Y']
R02-19-A	Y	Y	['Y']
R02-19-I	N	Y	['Y']
R02-19-E	Y	Y	['Y']
R02-21-A	Y	Y	['Y']
R02-23-I	N	Y	['Y']
R02-23-U	N	N	['N']
R02-23-E	N	Y	['Y']
R02-23-O	Y	Y	['Y']
R02-24-A	Y	Y	['Y']
R02-24-I	N	Y	['Y']
R02-24-U	Y	Y	['Y']
R02-24-E	N	N	['N']
R02-24-O	N	Y	['Y']
R02-25-A	Y	Y	['Y']
R02-25-I	N	N	['N']
R02-25-U	Y	Y	['Y']
R02-25-E	N	Y	['Y']
R02-25-O	Y	Y	['Y']
R02-26-A	N	N	['N']
R02-26-I	N	N	['N']
R02-26-U	N	N	['N']
R02-26-O	Y	Y	['Y']
R02-27-A	N	N	['N']
R02-27-I	N	Y	['Y']
R02-27-U	Y	Y	['Y']
R02-27-E	Y	Y	['Y']
R02-27-O	N	N	['N']
R02-28-U	N	Y	['Y']
R02-28-O	Y	Y	['Y']
R02-29-A	Y	Y	['Y']
R02-36-A	Y	N	['N']
R02-36-I	N	Y	['Y']
R02-36-U	Y	Y	['Y']
R02-36-E	N	N	['N']
R02-37-A	Y	Y	['Y']
R02-37-I	Y	Y	['Y']
