pair_id	label	prediction	votes
H30-1-A	Y	N	['N', 'N', 'N', 'N', 'Y']
H30-2-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-2-U	N	N	['N', 'N', 'N', 'N', 'N']
H30-4-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-4-I	N	Y	['Y', 'Y', 'Y', 'N', 'Y']
H30-4-U	Y	N	['Y', 'Y', 'N', 'N', 'N']
H30-4-E	N	Y	['Y', 'Y', 'Y', 'Y', 'U']
H30-4-O	Y	N	['N', 'N', 'N', 'N', 'N']
H30-5-A	Y	Y	['U', 'Y', 'Y', 'Y', 'Y']
H30-5-U	N	Y	['N', 'Y', 'U', 'Y', 'U']
H30-5-E	Y	N	['N', 'N', 'N', 'Y', 'N']
H30-6-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'N']
H30-7-A	Y	Y	['Y', 'Y', 'U', 'N', 'U']
H30-7-I	N	Y	['Y', 'Y', 'Y', 'U', 'N']
H30-8-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-8-I	Y	N	['N', 'N', 'N', 'Y', 'N']
H30-9-A	N	N	['N', 'N', 'N', 'N', 'N']
H30-9-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-9-U	Y	N	['N', 'N', 'N', 'N', 'N']
H30-11-U	Y	Y	['Y', 'Y', 'N', 'Y', 'Y']
H30-11-O	Y	Y	['Y', 'U', 'Y', 'Y', 'Y']
H30-12-E	Y	N	['Y', 'N', 'N', 'N', 'Y']
H30-13-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-13-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-13-U	N	N	['N', 'N', 'N', 'N', 'N']
H30-13-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-15-A	N	N	['N', 'N', 'N', 'N', 'N']
H30-15-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'U']
H30-15-U	Y	Y	['Y', 'Y', 'Y', 'U', 'U']
H30-15-E	N	N	['N', 'N', 'N', 'N', 'N']
H30-15-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-16-A	N	N	['N', 'N', 'N', 'N', 'N']
H30-16-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-16-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-18-I	Y	Y	['Y', 'Y', 'N', 'N', 'Y']
H30-18-U	N	N	['Y', 'N', 'N', 'N', 'N']
H30-18-E	N	N	['N', 'N', 'N', 'N', 'N']
H30-19-A	N	Y	['Y', 'Y', 'U', 'Y', 'U']
H30-19-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-19-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-19-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-20-A	N	N	['N', 'Y', 'N', 'Y', 'N']
H30-20-E	N	N	['N', 'N', 'N', 'U', 'N']
H30-20-O	N	N	['N', 'N', 'N', 'N', 'N']
H30-22-A	N	N	['N', 'U', 'U', 'Y', 'N']
H30-22-I	N	N	['U', 'N', 'N', 'N', 'U']
H30-22-U	Y	Y	['U', 'Y', 'Y', 'Y', 'Y']
H30-22-E	Y	Y	['Y', 'Y', 'N', 'Y', 'U']
H30-22-O	Y	N	['N', 'N', 'N', 'N', 'N']
H30-23-A	N	N	['N', 'U', 'U', 'N', 'N']
H30-23-I	Y	Y	['Y', 'Y', 'N', 'N', 'Y']
H30-23-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-24-A	N	Y	['N', 'Y', 'N', 'Y', 'Y']
H30-24-U	Y	N	['N', 'Y', 'N', 'N', 'Y']
H30-24-E	Y	N	['N', 'N', 'N', 'N', 'Y']
H30-24-O	N	N	['N', 'N', 'N', 'Y', 'N']
H30-25-A	N	Y	['Y', 'U', 'Y', 'Y', 'Y']
H30-26-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-26-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-26-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-26-O	N	N	['N', 'U', 'N', 'U', 'N']
H30-28-I	N	N	['N', 'N', 'N', 'N', 'N']
H30-28-U	Y	N	['Y', 'N', 'N', 'Y', 'N']
H30-28-E	N	N	['N', 'Y', 'N', 'Y', 'N']
H30-28-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-29-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-29-U	N	Y	['N', 'N', 'Y', 'Y', 'Y']
H30-29-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
H30-36-A	N	N	['N', 'N', 'N', 'N', 'N']
H30-36-O	Y	N	['N', 'N', 'N', 'N', 'Y']
