pair_id	label	prediction	votes
R01-1-A	N	N	['N']
R01-1-I	Y	Y	['Y']
R01-1-U	Y	N	['N']
R01-1-E	Y	Y	['Y']
R01-1-O	N	N	['N']
R01-2-A	Y	Y	['Y']
R01-2-I	Y	N	['N']
R01-2-U	Y	Y	['Y']
R01-2-E	N	N	['N']
R01-2-O	N	N	['N']
R01-3-A	N	Y	['Y']
R01-3-I	Y	Y	['Y']
R01-3-E	Y	Y	['Y']
R01-3-O	N	N	['N']
R01-4-I	Y	Y	['Y']
R01-4-U	N	N	['N']
R01-4-E	Y	Y	['Y']
R01-4-O	N	Y	['Y']
R01-5-E	N	Y	['Y']
R01-5-O	Y	Y	['Y']
R01-6-A	Y	N	['N']
R01-6-I	N	N	['N']
R01-7-I	N	Y	['Y']
R01-7-U	Y	N	['N']
R01-7-E	Y	N	['N']
R01-7-O	Y	N	['N']
R01-8-A	Y	N	['N']
R01-8-O	Y	N	['N']
R01-9-A	N	N	['N']
R01-9-I	Y	Y	['Y']
R01-9-U	N	N	['N']
R01-9-E	Y	Y	['Y']
R01-9-O	Y	Y	['Y']
R01-10-A	N	Y	['Y']
R01-10-O	Y	Y	['Y']
R01-11-A	N	N	['N']
R01-11-I	Y	Y	['Y']
R01-11-E	Y	Y	['Y']
R01-12-A	Y	Y	['Y']
R01-12-I	N	N	['N']
R01-12-U	Y	Y	['Y']
R01-12-O	N	N	['N']
R1-13-A	N	Y	['Y']
R1-13-I	Y	Y	['Y']
R1-13-U	N	N	['N']
R1-13-E	N	Y	['Y']
R1-13-O	Y	N	['N']
R1-14-A	Y	Y	['Y']
R1-14-I	Y	N	['N']
R1-14-U	N	N	['N']
R1-14-E	N	Y	['Y']
R1-14-O	Y	Y	['Y']
R1-15-A	N	Y	['Y']
R1-15-I	Y	Y	['Y']
R1-15-U	N	N	['N']
R1-15-E	N	N	['N']
R1-15-O	Y	N	['N']
