pair_id	label	prediction	votes
H30-1-A	Y	Y	['Y']
H30-2-I	N	Y	['Y']
H30-2-U	N	Y	['Y']
H30-4-A	Y	Y	['Y']
H30-4-I	N	N	['N']
H30-4-U	Y	Y	['Y']
H30-4-E	N	Y	['Y']
H30-4-O	Y	Y	['Y']
H30-5-A	Y	Y	['Y']
H30-5-U	N	Y	['Y']
H30-5-E	Y	Y	['Y']
H30-6-A	Y	Y	['Y']
H30-7-A	Y	Y	['Y']
H30-7-I	N	Y	['Y']
H30-8-A	N	N	['N']
H30-8-I	Y	Y	['Y']
H30-9-A	N	N	['N']
H30-9-I	Y	Y	['Y']
H30-9-U	Y	Y	['Y']
H30-11-U	Y	Y	['Y']
H30-11-O	Y	Y	['Y']
H30-12-E	Y	Y	['Y']
H30-13-A	Y	Y	['Y']
H30-13-I	Y	Y	['Y']
H30-13-U	N	Y	['Y']
H30-13-E	Y	Y	['Y']
H30-15-A	N	N	['N']
H30-15-I	Y	Y	['Y']
H30-15-U	Y	Y	['Y']
H30-15-E	N	N	['N']
H30-15-O	Y	Y	['Y']
H30-16-A	N	N	['N']
H30-16-I	N	N	['N']
H30-16-O	N	N	['N']
H30-18-I	Y	Y	['Y']
H30-18-U	N	Y	['Y']
H30-18-E	N	N	['N']
H30-19-A	N	Y	['Y']
H30-19-I	N	Y	['Y']
H30-19-U	Y	Y	['Y']
H30-19-E	Y	Y	['Y']
H30-20-A	N	N	['N']
H30-20-E	N	Y	['Y']
H30-20-O	N	Y	['Y']
H30-22-A	N	Y	['Y']
H30-22-I	N	Y	['Y']
H30-22-U	Y	Y	['Y']
H30-22-E	Y	Y	['Y']
H30-22-O	Y	Y	['Y']
H30-23-A	N	Y	['Y']
H30-23-I	Y	Y	['Y']
H30-23-O	Y	Y	['Y']
H30-24-A	N	Y	['Y']
H30-24-U	Y	Y	['Y']
H30-24-E	Y	Y	['Y']
H30-24-O	N	Y	['Y']
H30-25-A	N	Y	['Y']
H30-26-A	N	Y	['Y']
H30-26-U	Y	Y	['Y']
H30-26-E	Y	Y	['Y']
H30-26-O	N	Y	['Y']
H30-28-I	N	Y	['Y']
H30-28-U	Y	Y	['Y']
H30-28-E	N	Y	['Y']
H30-28-O	N	Y	['Y']
H30-29-I	Y	Y	['Y']
H30-29-U	N	N	['N']
H30-29-E	Y	Y	['Y']
H30-36-A	N	N	['N']
H30-36-O	Y	N	['N']
